Timestamp,In which GWF campus are you currently enrolled? ,Please indicate how the programme is meeting your expectations this year: ,Please describe 3 positive aspects of the programme that you have experienced this year. ,Name 3 challenges you have experienced in the programme so far.,How could we improve the BYA Programme?,Did you find your stationery packs useful?,What is the most important thing you have learnt about yourself this year so far? ,What will you do differently in the second half of the year? ,Are you likely to recommend this programme to others? ,Please give a reason for your answer above. ,Feel free to share a message with your BYA Team (Facilitators and Coordinator).,Feel free to share a message with the 2024 FA Students. (PDLC students to leave this question blank)
7/16/2024 14:20:24,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"Good communication skills
OLA Learners
How to stand in front of people and talk","Speaking English
Standing in front of people
",We can improve this programme by listening to our facilitators.,Yes,I have learnt that i must have self confidence,I will try my best in speaking English and stand in front of people ,Yes,Because it is a good career to choose,I love and appriciate their hard work ,Let us work hard in order to achieve our goals
7/16/2024 14:25:21,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"I'm doing well with my modules 
Have some changes in the way I view things in life.
I get to understand the difference of people.","Had to see that people who are above us doesn't care about others.
Had an unnecessary problem and got I got a warning 
And had a problem with transport to attend classes",By being fair to us as students. ,Yes,That I have trouble in addressing issues the way they are.,I am doing good so far. ,Yes,It's a good program and it really helped me in discovering some pieces of me.,I would say those whom are doing good with students please keep it up. the world needs you.,"I had a great time with you guys. Hope we meet again 
"
7/16/2024 14:25:47,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"1. I' now able to use computer
2. I able to speak English with other people
3. I am an out door person now","Talking loudly with my classmate
I am not good in excel yes i did pass but not in a good way
Having few hour in the school",By adding hour in the class so we can understand.,Yes,I have to be able to speak not to be shy because computer is all about meeting people,Improve my lesson and focus so i can graduate at the end of the year ,Yes,The are great opportunities in the program ,Thank you for the lesson we had so far i really leant a lot kip up the good work.,FA student continue working hard this year do not give up you can do this. 
7/16/2024 14:27:45,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,Trust and honesty and kind, Database and word processing presentation,practicing and studying,Yes,I am special,I will study hard,Yes,For others to get education,I am a slow learner but I will try to work hard to be educated,I love you all and i am happy to be with you
7/16/2024 14:28:07,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"The way we get along with the facilitators.
How the teach us
My marks",No chellanges ,Provide the students with monthly stipend.,Yes,I am smart and capable of doing much more.,Be more active in class and answer more questions when asked.,Yes,Because it has great opportunities and helps a lot with your future.,Continue doing the amazing work you are doing for your students because you inspire and teach so many.,You guys are fun to be around so keep up the positive energy.
7/16/2024 14:29:27,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Learned knew things, made knew friends and gained a lot of useful skills.",Transportation to get here is kind of difficult and there isn't much water to drink during classes.,Please provide uniforms for us because not all of us have the required appropriate clothes to attend in.,Yes,That I am actually smart and I am a good student.,Be more focused on getting good grades.,Yes,"Because this program has taught me a lot and I have gained some useful skills, even my English skills have upgraded.",I just want to say that they should carry on with the good work because they really do their jobs perfectly.,Being in the same program with you guys was so much fun and we made a lot of memories together.
7/16/2024 14:29:27,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"We have great facilitators.
We are can be free around here.
We work as a team in this campus.","Always have to speak English during presentations.
",Giving us stipend,Yes,That I am capable of doing anything.,Always try hard to speak English so I can be perfect with it.,Yes,Because I know that it is a good program that could help others.,Keep doing what you are doing because it is amazing.,I appreciate your kindness and patience that you give without asking anything in return.
7/16/2024 14:29:32,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"Learning to work with people
Learning on how to use a computer
To communicate","Not having enough water to drink
Playing games even if you are not feeling good
Disrespecting others in front of kids",By extending facilitators,Yes,That trying new things is the best because you will never know that how much experience you will get,Applying for a job,Yes,Because it will helps us on getting jobs easy,Being in a BYA Campus is the best thing ever because learning new things became the best part in my life,You guys you showed me love i never thought i can be with classmates like you guys
7/16/2024 14:30:12,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"1.To know how to use a computer.
2.Being able to calculate using Excel.
3.To improve on speaking English.","1.Speaking English all the time.
2.Asking questions if I didn't understand.
3.To stand in front of the people.",By hiring more staff to accommodate all the learners so that they can be able to attend from the morning.,Yes,"That I can be able to stand in front of the people, I can do almost everything that I put my mind and focus to.",Ask questions if I didn't understand what they are teaching me and buy attending extra classes if I'm left behind with what we will be learning.,Yes,"Because it is a good learning faculty and the facilitators are so friendly, good to communicate to and they are so good at what they do.","I would like to say thank you for giving me this opportunity to come and study here, for being patience with me when I couldn't understand anything about a computer or when you we busy teaching but I wouldn't understand, I really appreciate you all.",Thank you for being good to me and for always being there.
7/16/2024 14:30:33,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"Speaking English , Learning more in communication , Writing tests","Excel , Not seeing eye to eye with some others , Not being able to easily understand a module ",By giving my self more time to practice and reading the manuals,Yes,To  have self confidence in everything that I do,I will have a full concentration when the facilitators are facilitating  ,Yes,Because this BYA class is the  best for any one who would like to be good with communication and with ICDL ,Thank you for having me for this year also I am thankful for the classes and knowledge i gain ,It was nice being in the BYA
7/16/2024 14:31:27,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Learning more in communication ,Playing  bored games ,Writing exams and pass","Talking with people I am not use too, English should be my everyday language, Water scarcity",If we are going to write the exams the facilitators must train those who are slow learners in focusing to that module that is giving them the problem and they must not give up on us students,Yes,I am now a good communicating person,Passing to get higher marks,Yes,It helps many people in communication skills with the people from different places and to be positive in your academically,I want to thank them in teaching me the access in a computer and how to be positive in my books,It is nice to be with you guys and you became my friends and my family together we were passing 
7/16/2024 14:31:45,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"I have make some new friends
There are good facilitators 
The olla kids singing and reading ","Typing with my two hands
Dealing with the employability log book
Explaining after reading a story book ",you can improve BYA by adding some activities  like netball and soccer   then creating a tournament with the other campuses ,Yes,I have to respect others in odder to be respected ,I will listen to my facilitators and even stop talking in class,Yes,Because i have to achieve my goal and give respect ,"Thank you for the love , knowledge you provide  i now have skills  because of the lesson you gave me  ",Keep up the good work  never give-up 
7/16/2024 14:31:50,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,I experience a lots of fun and education ,"Difficulty to understand module 4
problems with some of the facilitators
way of handling cases by some facilitator ",introducing at least 2 modules more about reading and writing,Neutral,That i can work under critical situations ,Upgrade my way of relating to all the modules ,Yes,Because the program really encourages team work which is the skill most people lack,That it is a great  to embark on this program with them and i hope the year continues greatly so,Be your self and enjoy your BYA experience
7/16/2024 14:31:50,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"1. To be able to master in excel.
2. To know how to do presentations in front of people.
3. How happy the children when coming to GWF.","1. To stand in front of a lot of people.
2. To get use of speaking with my classmate.
3. To ask questions in or outside the classroom",By firing any facilitator who is involve in a sexual course with his/her student with an immediately effect.  ,Yes,"I have learn that I am able to stand in front of a lot of people and speak with confidence, and also able to state facts and ask questions where I don't understand.",I will work hard in order for me to get  distinction at the end of the year and make my parent proud. ,Yes,"GWF is the best faculty I ever been, this is the best of the best, they give you enough information that you need and make sure that you all made it out and make your parents very proud, and they will never regret for giving you this opportunity and didn't waste any money to study at GWF. ",I like to thank you very much for not giving up on me and be the for me on every single journey that I talk thank you all keep up the good work.,I like to thank my classmate at first it wasn't good but when times goes by thinks started to change and we all get along very well and I so thank you all guys for that and not giving up for each other thank you.
7/16/2024 14:32:02,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"I had learned to do team work
learned to stand for my self and I had meet new people 
to be open don't be shy  ",I had experience you have to be on class on time . you have to stand for your self if you don't talk for your self they will play will you,by teaching the facilitators know who to speak will the student to not gossip with one another ,Yes,I have learn I can do it I'm able to start a conversation will people I can wait in front of people not being shy I had learn to trust my self being positive ,mind my own business to not take things personal and also work head for my future  so I can also be proud for my self that I made it,Yes,for them to get the information I also got  and experience the fun I had at GWF,I will like as to work with each other with love and respect not looking down on other student who are trying they and respect is the most for people ho work well together going forward ,
7/16/2024 14:32:07,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Improved my computer skills
Slight improvement of my English vocab
The program also taught me how to communicate with people","I had once struggled with yoga classes
Excel was the bigger challenge 
I had once struggled with my time management",The program is just fine,Yes,I have learnt more about my personality,I will make sure that I don't be late,Yes,Because this program  can help a lot,I love the way they treat all of us,they must always do the best on whatever they are doing
7/16/2024 14:32:18,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"1.Leaning computer
2.Learn How to speak English every day
3.Making new friends ","1.Strugling to Study for my exams
2.Not used to stay with people speaking different languages
3.Takes time for me to understand Excel",By bulding more campuses so that many studends can study and have a better future,Yes,Is that if i know something i must help others,Study hard and always present in class so that at the end of the year i will pass and graduate,Yes,becouse it would help them to study and know what to expect when they are in GWF,they teach everything in time they are our mothers and fathers they always in time in work they are the best facilitators.,they are so funny they are supportive through every thing and they love one another is good to have family like this student becouse you are free with them.
7/16/2024 14:32:22,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"Great facilitators, best lessons and having fun","Talking English, Computers went off during lessons and Module 4 (excel)",By bringing more computers into the campus so that if they freeze during lessons it may be replaced,Yes,That i can overcome every situation I'm facing and be proud of myself ,I will make sure I pass all my modules with higher expectations,Yes,"BYA Is very good choice because you learning a lot in it, including English","My team we had a great journey together although it was not easy but it was very nice and we also had some fun, Much Love ",Friends be well And continue about Education because it is very important
7/16/2024 14:32:22,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I  can use computer
I have meet a new friends 
I liked to greet my facilitator","First I  can says that  the exam was not easy but I manage it
The things that I experienced is that the exam was good and I hope I will pass",TO Learn something and enjoy the when you are at school don't be a problem at school just be a good studied,Yes,Myself what can I say  I have a friend who always be there for me and I am proud to have her in my life because I love to spend time with her at school and I am happy  because she is a true friend and I  am the  person who loves to laugh and love to share my food to everyone and I am so happy to have her in my life I have never meet someone like my friend who always support me  for all in my life,I will come back and learn at hospitality because I love to cook and l am good on listening to my facilitator and i will be happy when they accept me ,Yes,because I am good studied with good heart and I am happy to be a studied for in BYA and I am happy so much,I like to thank you all of you  because I didn't know  where I would be now  and I am happy for the support you have given and I thank all of you to be in my life without all you I  don't know and I am happy so much,If I can come back again would you accept me or not
7/16/2024 14:32:46,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,new computer skills,Excel learning ,hire new facilitators who have more experience on computer cause they a few who know excel ,Yes,I'm now good at excel ,I want to learn more,Yes,cause it's a useful to me,you are dong your job ,I have learnt new things about computer
7/16/2024 14:33:30,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"Learning how to use a computer, Good communication skills and team work.","Failing to adapt to this new environment, Speaking in front of many people and struggling to use the computer properly from the start.",Adding more courses and provide more opportunities for young people.,Yes,I am a good person to have around ,I will try to help my classmates who are struggling in class.,Yes,it provide opportunities for the youth,Thank you for giving me the opportunity to study at GWF .,Thank you for supporting us from the start
7/16/2024 14:33:49,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"Learning computer skills
How to work well with others
How to communicate and respect others","Confidence
Patience
Hard work",Well it can be improved by letting other people know about the BYA Program and supply  pamphlet all over so people could know. Because some of the youth or even adults still don't know about the BYA Program. ,Yes,"I learned that going outside of your comfort zone to meet or interact with people is actually a good thing which I did, I now know how to communicate with others and ask for advice.  ","Well  would work hard with determination, come early to practice. ",Yes,Because it will help the person get a job and will also have computer skills.,"Well I will like to say keep up the good work your good, and have patience for us. We are grateful.","Once you know what you want in life, your short and long term goals you are at the right place, Because the facilitators will guide you though out the year. Good luck."
7/16/2024 14:34:11,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"It empowers my self-awareness
Learning how to use a computer
Taught me how to socialize with others
","Struggling with my bite size
Hard work
Being quiet
 ",By making it well-known wild world through media and even advertising it using pamphlets or post. ,Yes,I have leant that confidence is not what you get but is something you have to build inside you.,I will work harder than before make sure that I come prepared for the next modules nor assessments.,Yes,Because it helps to enhance one or more skills we were not aware about.,To all my facilitators and coordinator thank you for being passionate and investing your time to us your student to do well on our studies.,Every step you take to BYA make it worth it in your life.
7/16/2024 14:35:10,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"I'm doing good on my modules 
making friends at the campus
speaking and answering at the class room","being late at school
being not attending at school due to other matter
bad treatment at school",Giving us with money for transport because we have that challenge of coming to school everyday,Yes,"I have learn that many things in this campus ,like making relationship and sharing some ideals in class and speaking in front of many people.",I will make everyone in this campus proud of me  because I want to pass with high  marks  for second half.,Yes,being a student in this is good because it will make your life change ,As a student of this BYA I like to thank everyone or every facilitator being here for me and giving me a good warm welcome and good treatment as well.,I'm glad that I'm one of the student of 2024 and I have that experience and  love  for this campus.
7/16/2024 14:35:24,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"learning to speak English perfect
learning ho to use a computer
gaining too much knowledge on how to use a computer  ","transport  issues
shortage of water
speaking English everyday ",by not  being too much strict to us  ,Yes,That I now know  how to use a computer better,I will do better than before  ,Yes,its a good thing to know how to use a computer perfectly because it can helps you in your life,I am happy to meet you guys   so far I gained a lot when it comes to computer I am so great full ,Its nice to meet you guys I just hope we can make it all 
7/16/2024 14:36:00,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"Learned how to use computer
Gained too much knowledge about computer
Learned how to speak English properly","Not having money for transport
Speaking English all day
The punishment of being fired when you  have arrived late or forgot the ICDL Text book","By not being too much strict
By having water to drink everyday because were coming far and we get here thirsty",Yes,Is that I have learned to be patient and understand lot of things also the knowledge i have gained and GWF and learned how to use computer.,I promise to do better and behave well ,Yes,Because the knowledge I have gained in GWF its helped me a lot and others have need to come and have this knowledge also its a good thing,I am happy being a BYA student and you have helped me a lot shared your knowledge with us and being good to us,Please do your best in your BYA journey
7/16/2024 14:36:50,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.," To be confidence standing in front of people 
Learning how to develop myself in computer 

 ","I am struggling with transport I have to use bus come at school early but my classes start at 12.
Shortage of water in our campus.
are facilities are to hard on us.",get more facilities so they will be able to help us.,Yes,I have learn that am a shy person but that now am here I can stand in front of people.,Nature conservation ,Yes,because they give us all a chance to study,They give a us to be free in class be our self we good with them ,they are so kind and loving they shore care
7/17/2024 8:45:50,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"Building ones self-confidence, communications skills and  computer skills.","Having to type fast on the keyboard, talking in front of people and time management.","Nothing, so far everything is going well.",Neutral,"I have learned that I am not shy as I thought I was. I just needed a little push to see what I am capable of, which is speaking in front of people.",Put more work in building my confidence and continue working hard in order to pass the programme.,Yes,"BYA opens many doors to a lot of things, hence almost every job requires computer literacy now.",You are doing an amazing job managing the campus. Especially your patience with the students. Continue doing the good work.,Be willing to learn from other facilitators because they have been on the route before and they know the challenges they experienced.
7/17/2024 8:45:50,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"1. I have gained computer skills.
2. I have gained self confidence.
3. I have learned fast typing.","1. I was struggling to type.
2. I was shy to state my point of view.
3. I was a slow learner.",Allowing students to have access on free internet on their cell phones so that they can do researches even when they are not in class.,Yes,I have discovered that I am smart.,I will study or practice hard so that I will be able to obtain 100% on my exams.,Yes,So that they will be able to come and learn so that they will have knowledge on using computer because I think it is very important.,"I appreciate Reason and Memory for teaching and guiding me through the lessons because if it was not them I would have failed , but they made us left behind after the lesson of the day so that we would practice. I also need them to help me practice the module that I did not write .",I appreciate Tracy and Candice as well as Shelton for also assisting in class.
7/17/2024 8:45:54,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"Having good marks in all my exams
Gained more confidence 
Able to use computer ","At first was using the computer but improved when time goes by.
When doing excel challenge because it was a bit difficult .
Having to know new people .
",By giving each other feedback every week based on the things/ lessons we were doing .,Yes,That I am capable of doing anything I want to do ,Change how I use to study and do much better this time around ,Yes,So that particular person should also learn how to use computer and also obtain certificate ,They should keep on the good work they are doing in their campus . They really know how students must be treated ,They should keep on pushing and give it all their best . It will be a great benefit to them. 
7/17/2024 8:46:23,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I have gained knowledge on how to use u desktop computer, I have gained self-confidence and I've also learn how to be professional.","Standing in front of my classmates, The first module was a little bit hard, Being switched from one class to another and having to get to know my new classmates.",By taking more learners in and having more computers to fill in every student.,Yes,I have learned that I'm actually not afraid to stand in front of class.,I want to make sure that in the second half half of the year I do everything differently including passing all my modules with high grades.,Yes,Because I would like others to gain what I've gained and to have the ICDL certificate because it might help them one day.,"To Memory, thank you for being so kind and being the best.",You guys are doing great so please go on that way and do even better than now if possible.
7/17/2024 8:47:30,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"Boost up my self-confidence
Gained people skills
Learned computer skills","Standing in front people
Speaking English during lessons
Communicating with other people",Increase the learning time to at least 5 hours per day.,Yes,I have learnt that I can be able to stand in front of people it's  just that I needed people to help me with my confidence.,I would like to pass all the modules i am left with and pass with good marks.,Yes,So that they should come and gain all the skills and knowledge that I have gained.,"I would like to thank you for all the skills and knowledge that have taught me. You have been good people to me ever since I have entered your workplace. I came here knowing knowing nothing but you gave me something. Thanks for for everything you have done for me Reason, Memory, Getrude and Rakie.","You guys have played a huge role during our lessons. You were there when we were struggling with something. Thank you so much guys, you have been good people to us."
7/17/2024 8:47:36,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I'm better exposed to the modern world.
I know how to better use a computer.
I gained people skills and also money skills.
 ","I had no Idea of using a computer and it was hard for me.
I have to use English all the time and I miss some words.
Using 45 minutes to write exams, the time is less.",There's nothing to improve because all is cool this way.,Yes,Managing time and easily adapting to changes.,"Study hard  because at first I was not serious , I thought it was all a joke.",Yes,Because this is a good place to shape one's future since it helps in being better exposed to the modern world.,I would like to thank my BYA team for being with us and feeding us the knowledge they got. I thank them for not giving up on us and giving us a chance to be the better version of our self ,"To the 2024 FA Students: keep doing the good job you are doing. You are very helpful to us, thank you guys for the time you are giving us.  "
7/17/2024 8:47:47,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I have gained more knowledge when it comes to computer skills, typing.
I have gained confidence.
I can read fluently now.","Standing in front of many people.
Reading for many people .
Writing my first exam.",By providing transport for students who stay far from the campus.,Neutral,I can stand in front of people without fear.,I will read my books maybe that will help me improve my marks.,Yes,Because there is a lot to learn than staying at home without doing anything.,Thank you for being patient with us.,
7/17/2024 8:49:00,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"Having self-confidence , know how to use computer and speaking better English","Was not able to stand in front of people  , it was hard as I was starting the modules and scared to ask questions",Add another hour ,Yes,I have learnt that I am extrovert person,Study more to achieve 100%,Yes,I want everyone to get access to the computer and know more,Thank you so much for the love and the studies you had given me and if it was not for you I don't where would I be,I thank the FA student for being there when I was not able to do things in a right way
7/17/2024 8:50:32,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"gaining more confidence, how to use computer , how to create presentation with slides","how to write exam with 45mins ,how to use mouse by right clicking , speaking English each an every time it's hard to me",Nothing more everything is going well,Yes,Managing things on time and how to stand in front of people and speak,giving more time on my work studies,Yes,because this program is giving more opportunities in deference places ,"To facilitators and Coordinator I wanna say that you are kind ,lovely  and care so I just wanna say Thank you so much for your care to us",I would like to say good luck for your journey and god be with you all and protect you for everything 
7/17/2024 8:51:06,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"I   have  gained skills in using computer

my communication  is more better than before my
I more skills","standing in front talking to other student
some of the modules were little bit difficult
using the computer was not easy",the  hours of learning should be increased daily,Yes,I can   be able to stand a crowd and  speak,improved my exam mark,Yes,they should come and learn for their own benefit ,thank you for teaching us until we understand not giving up on us,thank you making learning easy for me
7/17/2024 8:51:14,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"It build computer skills, confidence and it also helps me to work with people as team.","am bit shy , can't face student and the minutes of exam is small",by extending the time,Yes,is that am so smart,I want to focus on my studies,Yes,Because it build  confidence,I would say that they are good so far,I would say that good luck to their journey it will be easy for them if they focus in their journey
7/17/2024 8:51:27,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"learning to be confident, Computer skills and People skills.","Learning  with the whiteboard made it hard to see, Some of the computer are not working properly  and Give more study time after the lesson .",By adding more learning time so at least it can be 4 hours a day.,Yes,I've learned that team work is the key.,Study more  and hard and practice,Yes,Because they will learn new things they did not know .,Thank you for giving us good lesson and making sure we understand everything and guiding us to our success.,Thank you for supporting us as FA Students it motivate us to reach the level your in and it push us to see our self to be in the same position as you.
7/17/2024 8:51:30,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"I have gain express on computer
I have gain more about how to yours computer
and also have skill on it ","my challenges where that I did not know how to create an email
I did know how to face my classmate
and also how to speak in front of people and talk",By helping them with more campuses so that on other places they can have campus to study on and also happy them with more computers for studies ,Yes,The thing that I have learned about my self this year is that I have improve are lot in my life and also I am also brave on how to stand in front of people,By improving on my studies and make some different this time around and also I  am wiling to work hard ,Yes,Because  being here for me it really helped me and I think it can help others too ,I would love to thank my facilitators for not loosing hope on us and for their hard working that they are doing for as for teaching and by helping us on something that we  don't know and giving us some skills on how to your computers ,I will also love to thank them for helping us on our class time and giving us some skills that they have on their mind and for giving us all the information that they know about how to use computer and how to manage it with the time you have 
7/17/2024 8:53:11,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I have experienced  their most important value which is to have fun, The skills that I've gained , not just socially but also doing very good with the computer work",I honestly have not experienced any challenges   ,So far with way I've experienced the BYA programme  I think that Things are fine the way they are,Yes,The most important thing I've learnt about myself is that i'm actually more social than i perceived myself to be,"I'll make sure that I end this year on a high note, the way I started will be much more different to the way I began",Yes,I'll without a doubt recommend this programme to friends and family members because they don't only teach about computers but also teach us about our personalities in a way they assist by helping you find yourself as a person.,"I really appreciate the time and effort you put in everyday to expand our knowledge on how to navigate through life because I never thought that I'd be learning way more than just computer,   ",I too appreciate the work that you put in helping the facilitators as well as us the students
7/17/2024 8:56:58,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I improve my vocabulary
I  have gain my  confidence
I have  gain the computer skills","I able  to stand in front of the class
I able to pass my  exam 
I able to share my my challenges with my facilitator
 ",By  helping others who facing many challenges so that they can feel free for seeking help,Yes,For putting more effort in my exam,I will keep looking for jobs or school ,Yes,I just want anyone to have a skills BYA,I just want  to say thank you to Memory for not giving up to me meanwhile I was having a challenge from the start with Word  but  at least I have improved also I really appreciate it a lot,Dear Getrude I really appreciate for your kind
7/17/2024 8:57:53,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"Computer Skills
Self Confident
Fulfil my dreams","Communicate with people
Afraid to ask for help
Shy to talk",I could improve the  BYA Programme by following the code of conduct that we have to follow rengular and attend the lesson on time,Yes,To achieve something in life and  to fulfil my dreams to come true,To apply for job opportunities and to be the good student here at good work foundation,Yes,Yes because I want to advise them to be a computer skills like myself because they can reach their goals to become true,"I would like to thank for your love that you have show me and for the help that you have given me , due since I have started to attend here at GWF I was struggling a lot but for now on i have self confident to stand on my own and for that I really appreciate it a lot",And since I have started to teach with the FA student they were good to us and they taught us to be the best student like them and I really appreciate those words that they use to guide us for the best future all thanks for the advise
7/17/2024 8:57:53,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"I gained confidence
I gained computer skill
My English is improved ","I was scared to use computer
I used to shake when I touch mouse
I was scared to stand in front of other students","The time we spent here is too short
We should learn at least 6months
Attend 6hours a day",Yes,"I noticed I am not a shy person
I can make friends
I am confident enough","Put more effort on my studies
Come on time at the campus
Respect my facilitators",Yes,It is helpful and has lot of opportunities,"Dear Memory and Reason, thank you for being patient with me since I was slow at everything you teach me, I appreciate you a lot. You have built my confidence, God bless you more I love you.","Dear Candice thank you for encouraging me, I nearly give up. I love you and appreciate you, God bless you."
7/17/2024 8:58:48,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.," to boost  my  knowledge
to boost my confidence
to  use  a computer","Is to gain confidence
Is writing my modules
Is using a computer

",Is to  enlarge the computer centers to be able to accommodate more students,Yes,Is to be able to stand in front of people,I will try to to be a different person  and push hard to my studies,Yes,because this program teaches us about using technology,The BYA tea is good from what I have experienced so far,they are good for the job as I have seen them they don't give any trouble at all
7/17/2024 9:20:38,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,Being able to work well with a team and humility,"Happiness, loved and kindness",By employing more kind people,Yes,Confidence and be able to work well with others,Put more effort to my studies,Yes,Because it taught me so many things that my friends or siblings could benefit a lot from the teachings I found,"To my facilitator and coordinator, thank you for the teachings and being patient with me","I would like to thank my classmate for sticking together and loving each other until now, i had the best year"
7/17/2024 9:30:34,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"self-confidence , educational value and to achieve skills ","work hard , never give up , gain self confidence",having more computers,Yes,To work hard until I get what I want in life,Improve my studies and get highest level,Yes,Because it will build them a bridge to another level,I will like to say they are good teachers they work very well and may continue help others I'm so proud of them ,May everyone get what they want I wish them a good luck in their lives since they are entered here at Good work foundation
7/17/2024 9:32:13,Lilydale Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Being able to use computer, improving my English daily, being punctual","Presentation lessons, Word module and being in front of a computer everyday",By adding an hour so it will be 4 hours lesson,Yes,I am lazy to think when i am given a work to do,I will make sure i do my work in time ,Yes,it is good because you learn new things in a daily bases and you gain self confidence which most of us lacks ,"They are a great team whom knows your work, being patiently to people like me and prioritising our success ",FA students are good to us and they are willing to teach us and to encourage us to do better and behave good 
7/17/2024 9:33:49,Lilydale Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,knowing how to us computer and how to work with other people at work and do your work in time,my challenges I have been experienced shy and lac with self confidence and not to know how you are,I have been improve BYA programme by doing what they need me to do,Yes,To know how I am,I will try all my best to work hard,Yes,Here in good work foundation they know how to motevit people and make that person to change and walk with good way of life,Ur facilitators and coordinator they are very kind people and care with us as we are the learn of BYA they are not rood from us .,
7/17/2024 9:35:53,Lilydale Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Know how to use computer, know many skills and I have gained knowledge on how must I behave on other people.","I have met the challenge of lacking confidence to present in front of people, I did not pass the word module with 90% above, Not presenting well because of lack of confidence.",By making extra classes for students who are struggling.,Yes,I have learnt that I must believe in myself so that I can gain more confidence.,I will  focus and engage more in class so that I can able to gain more confidence.,Yes,I recommend this program to other people because it is very useful .,,
7/17/2024 9:39:24,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"I have self confidence,  Good communications ,   Have a lot of skills.","lack of self confidence,  Struggling to  use computer and  failed my first module ",To buy generator to help during a load shedding,Yes,I  have learnt all of things because of BYA I see my self improving and copying at class .,"Work hard , improving the things that I am left behind.",Yes,Because it helped me a lot to further my studies.,"I wanna take this opportunity to thanks my facilitators because they take their time to make me understand everything and they did not give up, they played a role to me thanks once again and our journey is so rare keep it up .","Firstly  I would like to say thank you once again they played a role for helping every person. they do not have selfish in their heart ,they are always make time for you if you need help ,keep it up for helping those who need help ."
7/17/2024 9:40:40,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"good communication skills, team work, self confidence ","struggled to used a computer at first, lack of confidence and face people",we can improve the BYA by purchasing a generators to all campus to use during load shedding,Yes,"i have learnt that i have to be more confidence to my self when ever i go, to advice  people who are in need of and in courage them while we stay happy when i have a team",to focus more on my modules that are left,Yes,because it is a good programme and it has a good impact on the communities,I would like to share this to my facilitator Antontte that she is a good teacher and she knows how to make student to understand if they are not and share this to my classmate that they are the best i like them we always happy when are together and she even encourage us in a good way,"I would like to share this with the 20224 FA student and say that we really appreciate them they are always on ours side to make sure we do things right, I have never seen them on a moody zone they are the best i appreciate their efforts."
